EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,JobLevel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,BusinessTravel,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,NumCompaniesWorked,TrainingTimesLastYear,DistanceFromHome,Attrition
372,49,Female,Married,Research & Development,Manufacturing Director,Marketing,4,5,16491,24,2,3,3,2,1,4,Travel_Rarely,No,27,29,14,12,2,5,19,No
373,20,Male,Divorced,Sales,Manager,Other,2,4,16954,17,3,3,4,4,2,1,Non-Travel,No,6,15,16,10,6,3,6,No
374,20,Female,Divorced,Sales,Manager,Medical,4,1,27258,11,0,3,1,2,3,4,Non-Travel,No,29,29,15,14,1,0,18,No
375,46,Male,Single,Research & Development,Manager,Life Sciences,5,4,15257,13,0,3,3,3,2,2,Travel_Rarely,Yes,22,8,2,3,0,5,18,No
376,21,Male,Divorced,Sales,Manager,Life Sciences,5,1,24816,11,2,3,4,4,3,3,Non-Travel,Yes,15,40,6,2,0,3,1,No
377,30,Male,Single,Human Resources,Manager,Marketing,3,5,24322,21,0,3,2,3,4,4,Non-Travel,Yes,7,4,1,1,1,2,11,Yes
378,59,Male,Single,Sales,Sales Representative,Life Sciences,2,4,6302,15,2,3,1,4,2,4,Travel_Rarely,No,36,20,5,8,1,4,11,No
379,26,Male,Married,Human Resources,Manager,Human Resources,4,4,27334,19,1,3,2,3,4,4,Non-Travel,No,14,21,0,3,4,1,24,Yes
380,57,Female,Single,Research & Development,Laboratory Technician,Medical,5,4,4076,22,2,3,1,3,3,4,Travel_Frequently,Yes,2,5,4,6,6,5,27,Yes
381,32,Female,Divorced,Sales,Sales Executive,Medical,5,4,9651,19,0,3,2,1,2,4,Travel_Rarely,Yes,4,21,6,1,2,1,5,No
382,53,Male,Married,Sales,Manager,Technical Degree,2,5,24233,14,0,3,2,4,1,2,Non-Travel,No,30,13,1,5,6,3,6,Yes
383,50,Male,Single,Research & Development,Research Director,Marketing,5,5,27347,13,1,3,4,3,4,3,Travel_Frequently,No,18,39,12,15,1,2,5,No
384,27,Female,Divorced,Research & Development,Laboratory Technician,Technical Degree,3,4,6905,18,0,4,1,1,4,4,Non-Travel,No,7,12,6,9,2,1,25,No
385,40,Female,Divorced,Research & Development,Healthcare Representative,Other,2,2,15509,18,0,3,4,3,3,4,Travel_Frequently,Yes,9,32,8,14,2,2,8,No
386,28,Female,Married,Research & Development,Manager,Life Sciences,5,2,22994,25,0,3,1,2,1,3,Non-Travel,No,34,0,1,1,6,6,29,No
387,24,Male,Married,Human Resources,Human Resources,Marketing,1,2,12326,24,1,3,3,4,4,3,Travel_Rarely,Yes,26,40,9,13,2,1,12,No
388,30,Male,Divorced,Sales,Sales Executive,Medical,2,3,11940,25,2,3,2,4,4,2,Travel_Frequently,Yes,40,31,5,2,4,0,13,Yes
389,39,Female,Single,Sales,Sales Executive,Life Sciences,5,1,8734,12,0,3,3,3,3,3,Non-Travel,Yes,17,1,1,1,5,4,14,Yes
390,39,Female,Married,Research & Development,Manager,Marketing,1,1,27037,18,2,3,4,4,4,4,Non-Travel,No,1,20,3,8,3,2,15,No
391,48,Female,Married,Research & Development,Manager,Other,3,4,31778,14,1,3,3,3,2,2,Non-Travel,Yes,27,32,15,3,6,2,20,No
392,51,Male,Single,Sales,Sales Executive,Other,5,4,14086,13,2,4,4,3,3,3,Travel_Rarely,No,15,36,6,5,1,0,14,No
393,28,Female,Divorced,Human Resources,Human Resources,Other,1,2,8630,25,1,3,4,1,4,4,Travel_Rarely,No,14,20,18,2,5,3,23,No
394,42,Male,Single,Research & Development,Manager,Life Sciences,3,5,29649,25,0,4,4,3,3,2,Travel_Rarely,No,20,35,12,0,4,0,19,Yes
395,45,Male,Divorced,Research & Development,Research Director,Technical Degree,3,2,20089,24,3,3,4,3,4,3,Travel_Rarely,Yes,38,20,9,4,0,4,11,Yes
396,25,Female,Divorced,Research & Development,Manager,Technical Degree,1,3,28017,13,2,3,4,4,3,4,Travel_Frequently,Yes,3,17,5,15,6,2,27,No
397,19,Male,Married,Research & Development,Laboratory Technician,Marketing,3,2,11460,22,2,3,3,2,3,4,Travel_Frequently,No,37,35,1,9,7,5,6,No
398,48,Female,Single,Research & Development,Research Director,Life Sciences,2,4,20747,17,1,3,4,1,2,3,Non-Travel,Yes,30,18,5,1,1,4,21,Yes
399,27,Female,Single,Research & Development,Research Director,Medical,4,1,29010,23,1,3,4,3,2,3,Travel_Rarely,No,28,40,11,0,1,0,3,No
400,60,Male,Married,Sales,Manager,Human Resources,2,4,28770,18,3,3,2,2,3,2,Non-Travel,No,20,32,2,5,6,6,23,No
401,52,Male,Divorced,Sales,Manager,Other,1,2,20664,24,1,3,3,3,3,4,Non-Travel,Yes,7,33,1,4,9,1,21,No
402,34,Female,Married,Sales,Manager,Life Sciences,2,3,24657,11,3,3,1,4,2,3,Travel_Frequently,Yes,28,2,1,3,5,4,12,Yes
403,31,Female,Single,Research & Development,Manufacturing Director,Medical,5,5,17005,14,1,3,3,4,1,3,Travel_Rarely,Yes,35,6,4,4,6,5,29,Yes
404,23,Female,Divorced,Sales,Sales Representative,Other,2,3,7309,20,1,3,3,3,4,3,Travel_Rarely,Yes,9,16,10,13,6,0,20,Yes
405,25,Male,Married,Sales,Sales Representative,Marketing,2,2,9770,15,0,3,1,4,3,3,Travel_Rarely,Yes,6,34,3,5,8,5,29,Yes
406,24,Female,Divorced,Research & Development,Research Director,Medical,3,4,29346,13,0,3,2,4,3,3,Travel_Frequently,No,38,33,12,15,9,1,9,No
407,27,Male,Single,Sales,Manager,Human Resources,4,4,19312,13,0,3,1,3,3,3,Travel_Frequently,No,27,8,8,3,4,5,28,No
408,44,Male,Divorced,Sales,Sales Representative,Life Sciences,1,3,6274,19,3,3,4,1,3,4,Travel_Rarely,Yes,32,20,4,15,7,4,22,No
409,43,Female,Single,Human Resources,Human Resources,Medical,5,5,6430,11,1,4,3,3,4,4,Non-Travel,No,33,0,0,0,1,2,27,No
410,21,Female,Married,Sales,Sales Representative,Life Sciences,3,3,7855,18,0,3,3,4,2,3,Travel_Rarely,Yes,13,27,9,1,7,4,28,No
411,18,Male,Single,Research & Development,Healthcare Representative,Marketing,1,1,14726,17,1,3,3,3,2,2,Travel_Rarely,No,7,39,15,0,2,6,22,No
412,43,Male,Divorced,Sales,Sales Representative,Technical Degree,2,2,8987,16,1,3,2,4,3,4,Travel_Rarely,No,7,23,6,9,0,1,13,Yes
413,20,Male,Married,Research & Development,Healthcare Representative,Other,2,3,12240,23,2,4,3,3,4,4,Non-Travel,Yes,24,10,2,1,1,6,1,No
414,50,Female,Married,Sales,Sales Representative,Technical Degree,4,3,3540,15,1,3,4,2,2,2,Non-Travel,No,32,0,0,0,4,6,4,No
415,33,Female,Divorced,Research & Development,Manager,Other,2,2,26205,12,0,3,2,4,3,4,Travel_Rarely,Yes,27,27,0,6,1,6,2,Yes
416,37,Female,Married,Research & Development,Manufacturing Director,Marketing,1,3,23208,16,0,3,4,3,2,3,Travel_Frequently,Yes,3,40,5,1,0,0,22,No
417,36,Male,Single,Research & Development,Laboratory Technician,Marketing,1,1,9103,21,0,3,2,4,3,3,Travel_Frequently,No,23,30,18,11,3,5,9,No
418,23,Male,Single,Sales,Sales Representative,Life Sciences,1,5,4189,20,0,3,1,4,3,2,Travel_Rarely,Yes,9,6,0,2,3,3,18,Yes
419,40,Female,Single,Research & Development,Manufacturing Director,Human Resources,1,2,22161,20,0,4,3,2,3,4,Travel_Frequently,No,3,23,6,12,7,5,18,No
420,28,Male,Married,Research & Development,Research Scientist,Human Resources,2,5,12828,22,0,4,4,3,3,3,Travel_Frequently,No,33,28,8,9,3,2,23,Yes
421,28,Male,Divorced,Sales,Sales Executive,Medical,3,1,11533,21,3,4,1,2,2,2,Travel_Rarely,Yes,22,14,11,10,1,5,29,No
422,26,Male,Divorced,Research & Development,Manager,Marketing,2,3,28017,11,1,4,4,4,2,4,Travel_Rarely,Yes,6,26,12,8,9,4,7,No
423,38,Female,Single,Research & Development,Laboratory Technician,Marketing,2,4,6018,12,1,3,2,4,3,2,Travel_Frequently,No,36,17,15,5,4,0,10,Yes
424,43,Female,Single,Sales,Sales Executive,Life Sciences,5,2,14885,22,2,3,2,1,2,3,Travel_Frequently,No,7,38,0,1,2,1,25,No
425,58,Male,Divorced,Sales,Sales Executive,Medical,4,5,12755,25,0,3,1,3,4,2,Travel_Rarely,No,3,38,17,8,8,0,1,No
426,52,Male,Single,Research & Development,Research Scientist,Technical Degree,4,2,9991,16,1,3,1,4,4,3,Travel_Frequently,Yes,7,18,15,5,1,1,4,No
427,40,Male,Single,Human Resources,Manager,Human Resources,2,4,19179,13,2,3,3,3,2,3,Travel_Rarely,Yes,6,4,2,3,5,2,26,Yes
428,18,Female,Married,Human Resources,Human Resources,Technical Degree,1,1,8171,20,0,3,4,2,2,3,Travel_Rarely,No,8,9,2,6,5,2,16,No
429,44,Male,Single,Research & Development,Manager,Human Resources,4,5,24824,19,2,3,4,3,3,3,Non-Travel,No,36,38,7,2,3,2,1,No
430,41,Female,Single,Sales,Sales Executive,Medical,3,4,12445,13,2,3,3,4,2,3,Travel_Rarely,No,13,35,7,1,2,0,23,No
431,19,Male,Divorced,Research & Development,Research Director,Medical,1,2,19115,16,0,3,3,1,3,4,Non-Travel,Yes,26,27,4,5,7,5,5,No
432,37,Male,Divorced,Research & Development,Manager,Other,1,5,28459,23,0,3,3,3,3,3,Non-Travel,Yes,29,30,17,8,9,4,10,No
433,28,Male,Divorced,Research & Development,Research Director,Technical Degree,2,5,22818,20,2,3,4,3,3,3,Travel_Rarely,Yes,25,17,12,5,0,6,12,No
434,35,Male,Single,Research & Development,Laboratory Technician,Life Sciences,2,5,3842,11,2,3,1,3,3,3,Travel_Frequently,Yes,2,6,3,4,1,4,19,Yes
435,20,Male,Married,Sales,Sales Representative,Marketing,4,3,3039,13,1,3,2,3,4,4,Travel_Rarely,No,6,3,4,1,0,4,26,No
436,20,Male,Divorced,Research & Development,Manufacturing Director,Medical,2,2,21460,19,1,3,2,3,3,4,Travel_Rarely,Yes,21,18,14,4,5,2,12,No
437,20,Female,Single,Research & Development,Research Director,Life Sciences,1,2,17673,23,2,3,2,4,4,4,Non-Travel,Yes,5,24,15,3,7,2,6,No
438,22,Male,Single,Human Resources,Human Resources,Marketing,4,2,9548,12,3,3,3,3,3,3,Travel_Rarely,No,26,17,4,14,5,4,28,No
439,41,Female,Divorced,Research & Development,Healthcare Representative,Other,2,5,9957,11,0,3,3,3,3,3,Travel_Frequently,Yes,4,5,1,3,7,5,3,No
440,59,Female,Single,Research & Development,Research Director,Technical Degree,2,4,19776,16,0,3,4,3,3,2,Travel_Rarely,Yes,30,34,3,8,7,0,18,No
441,27,Male,Married,Sales,Sales Representative,Technical Degree,4,2,10440,11,0,3,2,4,3,3,Non-Travel,Yes,16,40,5,2,2,0,9,No
442,46,Female,Single,Research & Development,Healthcare Representative,Marketing,3,2,15629,14,0,3,3,3,3,4,Travel_Frequently,Yes,10,26,13,11,9,3,27,Yes
443,30,Female,Married,Sales,Manager,Medical,4,3,18321,12,2,3,4,2,3,4,Travel_Rarely,No,28,4,1,5,7,5,19,Yes
444,30,Female,Married,Sales,Sales Executive,Other,5,1,11881,16,2,3,3,4,4,3,Non-Travel,Yes,7,26,15,14,6,3,12,No
445,45,Male,Married,Research & Development,Manufacturing Director,Medical,5,4,25634,17,0,3,4,4,3,3,Travel_Rarely,No,39,33,3,2,1,0,21,No
446,24,Female,Single,Sales,Sales Representative,Other,3,4,10581,14,0,3,4,3,3,2,Non-Travel,No,30,31,3,11,7,3,27,No
447,43,Male,Married,Research & Development,Manager,Technical Degree,2,1,25321,25,3,3,4,1,4,4,Non-Travel,No,33,0,1,1,2,4,14,No
448,30,Male,Married,Sales,Sales Representative,Other,2,4,11745,25,0,3,3,2,4,4,Non-Travel,Yes,8,39,16,3,9,6,13,No
449,34,Female,Single,Research & Development,Manager,Human Resources,2,1,24547,20,1,4,2,1,3,3,Travel_Rarely,Yes,8,35,14,11,2,1,21,No
450,30,Female,Married,Research & Development,Healthcare Representative,Other,1,5,12488,24,0,3,4,3,3,2,Travel_Frequently,Yes,18,34,8,5,1,0,16,Yes
451,43,Male,Married,Research & Development,Laboratory Technician,Marketing,4,2,5465,13,0,4,3,3,1,3,Travel_Rarely,Yes,2,6,1,5,5,3,20,Yes
452,28,Male,Divorced,Research & Development,Research Scientist,Medical,2,3,13028,12,2,3,4,2,4,2,Travel_Rarely,Yes,8,33,8,8,7,1,3,No
453,59,Male,Divorced,Research & Development,Manufacturing Director,Medical,3,4,18554,12,1,3,3,3,4,4,Travel_Frequently,No,31,18,13,14,6,4,24,No
454,57,Female,Married,Sales,Sales Representative,Technical Degree,2,1,5489,19,0,3,3,3,3,4,Non-Travel,No,33,6,5,6,0,0,6,No
455,29,Male,Married,Research & Development,Research Director,Marketing,1,3,17734,14,1,3,2,4,2,3,Travel_Frequently,Yes,24,22,9,6,8,1,4,No
456,56,Male,Married,Research & Development,Manager,Life Sciences,4,4,19830,11,3,3,3,2,3,2,Non-Travel,No,20,4,4,3,3,4,1,No
457,54,Male,Single,Sales,Manager,Technical Degree,1,4,12894,22,0,3,4,3,2,1,Travel_Frequently,Yes,20,0,1,0,6,2,23,Yes
458,59,Male,Single,Human Resources,Manager,Life Sciences,3,4,20125,14,0,3,4,4,4,3,Travel_Rarely,Yes,34,7,0,0,4,6,2,Yes
459,22,Male,Married,Sales,Sales Representative,Life Sciences,2,3,5576,24,0,3,2,4,3,4,Travel_Frequently,Yes,40,16,14,3,8,4,8,No
460,49,Female,Single,Research & Development,Manager,Marketing,5,2,17664,21,1,4,2,4,3,1,Travel_Rarely,No,31,17,1,6,0,5,7,No
461,30,Male,Divorced,Research & Development,Research Director,Technical Degree,2,5,19610,12,3,3,1,3,2,4,Non-Travel,No,39,31,16,6,6,1,3,No
462,37,Female,Divorced,Sales,Sales Executive,Medical,3,1,15239,18,1,3,3,2,2,4,Travel_Rarely,Yes,5,36,11,13,3,1,13,Yes
463,39,Male,Divorced,Research & Development,Manufacturing Director,Marketing,2,4,18933,13,1,3,3,3,3,3,Travel_Rarely,No,3,3,1,0,3,0,2,No
464,35,Male,Divorced,Research & Development,Manufacturing Director,Other,3,4,19625,14,0,3,1,3,2,4,Travel_Rarely,No,18,15,0,3,2,4,23,No
465,37,Male,Single,Research & Development,Manager,Life Sciences,4,4,28017,16,0,4,2,4,3,2,Travel_Rarely,No,0,15,11,15,9,0,16,No
466,25,Female,Single,Research & Development,Research Director,Life Sciences,3,3,16898,18,1,3,4,3,3,4,Travel_Frequently,Yes,16,2,2,3,0,6,12,No
467,51,Male,Divorced,Research & Development,Healthcare Representative,Medical,2,3,14349,18,0,3,3,4,2,3,Non-Travel,Yes,13,38,2,6,6,5,4,Yes
468,51,Male,Married,Human Resources,Manager,Medical,1,5,26024,19,1,3,2,2,3,4,Travel_Frequently,No,36,11,12,12,5,2,4,No
469,27,Male,Divorced,Human Resources,Manager,Marketing,1,4,21400,11,0,3,3,2,3,3,Travel_Frequently,Yes,0,29,13,11,0,0,9,Yes
470,50,Female,Single,Sales,Sales Representative,Marketing,2,1,11417,18,3,3,2,3,1,3,Travel_Frequently,Yes,25,35,3,8,4,4,10,Yes
471,38,Male,Single,Sales,Sales Representative,Life Sciences,3,5,9677,25,1,3,1,3,4,4,Travel_Frequently,No,27,37,3,4,8,3,23,Yes
472,40,Male,Married,Research & Development,Manager,Technical Degree,1,2,30915,20,3,3,3,3,3,3,Travel_Frequently,Yes,39,29,17,9,0,6,28,No
473,60,Male,Married,Research & Development,Research Director,Other,1,3,12517,20,0,3,3,3,4,3,Non-Travel,Yes,3,0,0,0,3,4,5,Yes
474,26,Female,Married,Research & Development,Research Director,Technical Degree,5,2,25493,12,0,3,4,4,3,3,Travel_Rarely,No,15,14,6,3,7,0,27,No
475,21,Female,Single,Research & Development,Research Director,Other,5,1,19732,17,0,3,2,2,3,4,Travel_Rarely,No,15,7,2,8,8,1,16,No
476,60,Female,Married,Research & Development,Healthcare Representative,Technical Degree,4,4,11663,13,0,3,4,3,3,1,Non-Travel,No,19,6,0,7,0,2,5,No
477,47,Female,Divorced,Research & Development,Manager,Technical Degree,5,1,17090,13,1,3,1,4,2,3,Non-Travel,Yes,8,17,8,9,6,0,27,Yes
478,48,Male,Divorced,Research & Development,Research Director,Human Resources,3,5,26246,20,2,3,3,1,3,4,Non-Travel,No,14,38,3,3,7,5,16,No
479,33,Male,Married,Research & Development,Laboratory Technician,Life Sciences,1,4,5926,23,0,3,4,1,2,2,Travel_Frequently,Yes,6,6,7,6,2,5,19,Yes
480,34,Male,Divorced,Research & Development,Laboratory Technician,Medical,1,5,9855,11,1,3,3,2,2,4,Travel_Rarely,Yes,0,31,11,13,9,4,28,No
481,59,Female,Married,Sales,Sales Executive,Medical,1,4,14543,17,1,4,3,3,4,2,Non-Travel,No,33,33,9,3,1,3,8,No
482,39,Female,Married,Sales,Manager,Marketing,1,5,21820,20,0,3,2,3,4,3,Travel_Frequently,No,39,1,0,2,1,4,16,Yes
483,59,Male,Married,Human Resources,Manager,Other,3,1,18745,14,1,3,1,3,3,3,Travel_Rarely,Yes,2,1,1,0,6,4,24,Yes
484,53,Male,Single,Research & Development,Research Scientist,Marketing,4,4,12713,15,2,4,4,2,2,4,Travel_Rarely,Yes,1,30,6,12,0,4,16,No
485,26,Female,Married,Sales,Sales Representative,Marketing,3,2,8964,16,0,3,4,2,3,3,Travel_Rarely,Yes,14,27,13,1,0,6,24,No
486,22,Female,Married,Sales,Sales Executive,Marketing,2,5,9868,17,1,3,1,1,2,2,Travel_Rarely,No,34,3,1,3,5,6,8,No
487,41,Male,Married,Research & Development,Healthcare Representative,Life Sciences,3,4,12488,22,3,3,2,1,3,4,Non-Travel,No,33,35,7,9,8,1,4,No
488,20,Male,Single,Research & Development,Laboratory Technician,Marketing,5,4,6074,15,2,3,3,2,3,3,Travel_Frequently,Yes,31,15,0,12,6,3,2,No
489,29,Female,Divorced,Sales,Sales Representative,Marketing,3,5,9788,14,2,3,3,4,3,3,Travel_Rarely,No,27,27,1,3,8,3,24,No
490,52,Male,Married,Human Resources,Manager,Medical,2,1,29900,15,2,4,3,1,3,2,Non-Travel,Yes,34,29,9,10,9,3,2,No
491,35,Female,Single,Research & Development,Healthcare Representative,Marketing,2,4,10842,18,0,3,4,1,4,3,Non-Travel,Yes,40,16,17,6,6,0,19,No
492,57,Male,Married,Human Resources,Manager,Medical,2,2,27656,24,1,3,2,1,1,1,Travel_Rarely,No,32,35,14,10,0,4,23,Yes
493,34,Male,Divorced,Sales,Manager,Life Sciences,5,4,19486,12,1,3,1,3,4,3,Travel_Frequently,Yes,26,16,2,13,4,1,1,No
494,39,Male,Divorced,Research & Development,Healthcare Representative,Medical,5,1,11437,12,1,3,4,3,3,4,Travel_Frequently,Yes,32,26,18,11,3,3,27,Yes
495,27,Male,Single,Research & Development,Manager,Human Resources,1,5,23462,18,1,3,4,3,3,2,Travel_Rarely,No,36,24,9,7,5,1,26,No
496,32,Female,Single,Research & Development,Healthcare Representative,Marketing,1,3,12905,19,1,4,2,3,4,3,Non-Travel,No,28,29,13,7,9,6,27,No
497,44,Male,Married,Human Resources,Human Resources,Human Resources,2,5,12744,18,1,3,3,4,3,4,Travel_Frequently,No,0,37,5,3,6,2,25,Yes
498,24,Male,Divorced,Research & Development,Research Director,Human Resources,4,4,14532,16,0,3,4,2,4,3,Travel_Rarely,Yes,21,8,5,9,9,4,4,No
499,22,Male,Married,Human Resources,Human Resources,Medical,2,5,11063,25,2,3,4,2,4,1,Non-Travel,No,37,22,11,14,6,2,15,No
500,55,Male,Married,Sales,Manager,Human Resources,5,5,28724,24,3,3,4,3,1,4,Travel_Frequently,No,9,17,1,6,6,4,9,Yes
501,38,Female,Married,Research & Development,Manufacturing Director,Marketing,3,5,19030,23,0,3,2,2,2,2,Travel_Frequently,No,35,6,2,0,9,0,29,No
502,18,Male,Married,Research & Development,Laboratory Technician,Technical Degree,3,1,9886,22,1,4,4,3,1,3,Travel_Rarely,No,16,31,2,4,4,5,22,No
503,23,Female,Married,Sales,Sales Representative,Other,1,3,5746,25,3,3,4,4,3,4,Non-Travel,No,20,14,6,1,0,1,5,No
504,30,Male,Divorced,Research & Development,Laboratory Technician,Life Sciences,5,2,7553,11,0,3,3,3,3,4,Travel_Rarely,No,2,16,13,8,9,3,21,No
505,40,Male,Single,Research & Development,Manager,Other,4,5,27480,16,1,3,3,2,4,4,Travel_Frequently,No,18,30,13,14,5,1,22,No
506,47,Male,Divorced,Research & Development,Laboratory Technician,Technical Degree,5,4,6790,21,0,3,3,3,3,4,Travel_Frequently,Yes,26,20,1,10,4,5,11,No
507,45,Female,Divorced,Research & Development,Research Director,Marketing,4,4,27931,14,1,3,2,2,1,3,Travel_Frequently,Yes,39,25,10,4,9,4,1,Yes
508,42,Male,Divorced,Human Resources,Human Resources,Marketing,5,2,7151,13,2,3,4,4,3,3,Travel_Frequently,Yes,10,5,2,2,6,1,18,No
509,20,Male,Married,Research & Development,Research Scientist,Life Sciences,2,2,8242,11,0,3,4,4,3,3,Non-Travel,No,8,1,2,1,1,0,3,Yes
510,44,Female,Single,Research & Development,Manager,Medical,5,3,22202,23,0,3,1,1,4,3,Non-Travel,Yes,12,1,0,1,9,3,13,No
511,32,Female,Divorced,Sales,Sales Executive,Other,4,3,13065,23,1,3,3,2,3,4,Non-Travel,Yes,25,26,7,14,5,3,19,No
512,39,Female,Divorced,Sales,Sales Representative,Human Resources,2,1,4991,13,0,3,4,3,4,4,Travel_Rarely,Yes,14,9,0,7,4,3,10,Yes
513,20,Female,Married,Research & Development,Laboratory Technician,Human Resources,4,3,8638,21,0,3,3,3,3,3,Travel_Rarely,Yes,5,20,3,13,1,3,5,No
514,51,Female,Single,Research & Development,Laboratory Technician,Human Resources,4,2,5878,22,2,3,2,1,3,2,Travel_Rarely,No,18,7,4,8,5,4,29,No
515,28,Male,Divorced,Research & Development,Manager,Technical Degree,2,3,15126,25,1,4,2,4,3,2,Non-Travel,No,30,9,0,5,6,1,5,No
516,37,Male,Married,Research & Development,Research Scientist,Medical,1,3,6633,21,1,3,2,3,1,4,Travel_Frequently,Yes,17,12,4,13,6,4,24,Yes
517,43,Male,Single,Research & Development,Manufacturing Director,Medical,3,5,17652,12,0,3,3,3,3,3,Travel_Rarely,Yes,36,16,8,15,3,1,1,Yes
518,23,Male,Married,Research & Development,Laboratory Technician,Human Resources,4,4,12145,21,1,3,1,4,2,2,Travel_Rarely,Yes,25,39,12,12,7,2,10,No
519,51,Female,Divorced,Research & Development,Healthcare Representative,Human Resources,4,4,11433,22,2,3,4,3,4,3,Travel_Rarely,No,22,5,1,0,5,6,15,No
520,45,Female,Married,Research & Development,Healthcare Representative,Life Sciences,2,4,8639,16,1,3,3,3,4,2,Travel_Rarely,No,23,13,14,4,8,0,20,No
521,35,Female,Married,Sales,Manager,Life Sciences,4,5,26325,21,1,3,3,4,4,3,Non-Travel,No,34,30,3,1,5,0,20,No
522,29,Male,Single,Research & Development,Laboratory Technician,Life Sciences,5,3,4914,24,0,3,1,1,4,4,Travel_Rarely,No,20,8,2,9,5,4,1,No
523,44,Male,Single,Human Resources,Manager,Marketing,5,2,25716,22,1,3,1,4,4,4,Non-Travel,No,0,3,2,2,8,2,4,Yes
524,23,Male,Single,Research & Development,Manufacturing Director,Life Sciences,2,1,26542,14,1,3,4,4,1,4,Travel_Rarely,Yes,19,36,6,4,4,0,13,Yes
525,35,Male,Married,Research & Development,Laboratory Technician,Other,4,3,6011,12,1,3,3,3,3,3,Travel_Rarely,Yes,28,8,2,0,9,3,5,Yes
526,45,Male,Single,Research & Development,Laboratory Technician,Other,3,1,7924,19,2,3,3,3,3,1,Travel_Frequently,No,7,22,16,5,7,1,15,No
527,54,Female,Divorced,Research & Development,Healthcare Representative,Life Sciences,2,4,12227,18,0,3,3,1,4,4,Travel_Frequently,Yes,19,24,5,14,8,1,25,No
528,47,Male,Married,Sales,Manager,Marketing,4,4,23635,15,0,4,3,2,3,4,Travel_Frequently,Yes,32,37,3,13,6,6,9,Yes
529,55,Male,Divorced,Human Resources,Manager,Medical,2,3,13668,23,3,4,2,3,2,4,Travel_Frequently,Yes,22,1,1,1,2,3,1,No
530,29,Male,Married,Research & Development,Laboratory Technician,Human Resources,3,1,8275,18,0,3,2,3,2,3,Travel_Rarely,Yes,13,19,15,12,7,5,8,No
531,42,Female,Married,Research & Development,Research Scientist,Technical Degree,5,4,9078,19,0,3,2,4,4,3,Travel_Frequently,No,14,8,9,2,3,2,12,No
532,57,Male,Single,Research & Development,Research Scientist,Marketing,4,1,15848,16,0,3,4,2,4,3,Non-Travel,Yes,30,38,1,8,6,1,6,No
533,24,Male,Single,Research & Development,Manufacturing Director,Marketing,2,5,26764,19,0,3,4,3,3,4,Non-Travel,No,25,29,13,1,4,3,9,No
534,56,Male,Married,Research & Development,Research Scientist,Technical Degree,5,4,12016,24,1,3,3,3,4,4,Non-Travel,No,37,28,8,6,8,6,20,No
535,45,Male,Married,Research & Development,Research Director,Marketing,3,4,21827,16,1,3,3,1,1,3,Travel_Frequently,No,18,3,2,3,0,3,11,Yes
536,56,Male,Married,Sales,Sales Executive,Medical,2,4,10880,17,2,3,3,3,1,3,Non-Travel,Yes,33,7,7,0,1,2,12,Yes
537,58,Male,Married,Sales,Manager,Other,3,1,24783,24,3,4,3,4,4,3,Travel_Rarely,No,19,6,3,0,5,4,16,No
538,35,Male,Married,Sales,Sales Representative,Technical Degree,2,1,5006,23,0,3,2,2,3,3,Non-Travel,Yes,40,11,5,1,3,1,1,No
539,22,Male,Divorced,Research & Development,Laboratory Technician,Technical Degree,4,5,11281,11,0,3,2,4,3,2,Travel_Frequently,No,31,39,6,5,6,2,13,No
540,23,Female,Single,Sales,Manager,Technical Degree,4,1,22396,13,1,3,3,3,4,3,Travel_Rarely,No,1,40,9,15,3,3,18,No
541,25,Male,Divorced,Sales,Manager,Other,4,5,26114,17,0,3,3,4,2,3,Travel_Rarely,No,23,6,1,5,8,4,18,Yes
542,49,Male,Single,Research & Development,Research Director,Marketing,4,2,25074,21,3,3,2,3,4,4,Travel_Rarely,No,26,29,6,0,9,1,5,No
543,23,Female,Married,Research & Development,Manufacturing Director,Other,1,3,20500,11,1,4,3,3,3,3,Travel_Rarely,Yes,12,38,5,14,5,5,28,Yes
544,30,Female,Single,Sales,Sales Representative,Technical Degree,2,2,7761,18,1,3,1,3,1,3,Travel_Rarely,No,10,20,7,14,1,0,24,Yes
545,44,Male,Married,Sales,Manager,Other,5,5,27231,22,0,3,4,4,4,3,Travel_Rarely,No,25,33,1,11,6,5,17,No
546,45,Female,Single,Research & Development,Research Director,Medical,2,4,17697,14,0,3,1,4,4,3,Non-Travel,Yes,31,7,3,4,5,2,23,Yes
547,34,Female,Single,Research & Development,Research Director,Human Resources,3,3,20562,15,3,3,2,3,1,3,Travel_Rarely,No,28,36,9,4,2,1,20,Yes
548,34,Male,Married,Sales,Sales Representative,Other,5,5,11761,17,1,4,2,4,4,3,Non-Travel,Yes,37,40,16,10,8,2,13,No
549,59,Male,Married,Research & Development,Research Director,Medical,3,2,20243,14,0,3,4,4,3,2,Travel_Frequently,Yes,12,10,5,7,7,4,21,No
550,30,Female,Married,Human Resources,Human Resources,Other,5,1,10581,23,0,3,3,2,3,2,Travel_Rarely,Yes,11,23,7,7,7,1,2,No
